,content_id,title_ko,title_en,running_min,running_time,year,country,age,ott_img,ott_tag,avg_score,img
0,mO1D8PW,달,La luna,7,7분,2011,미국,전체,['https://an2-img.amz.wtchn.net/image/v2/mPQV0ogd6uw4_5DmR0oBFA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTODJPVE14TmpNeE1qWXpNekE1TURraWZRLnZ0TFJSVWFtRWtJRDBHMFJnZGdQVC1WWlJLckE3eGNHZWdpMFpWWXhWZWM&ts=1712645394'],#디즈니+,4.1,https://an2-img.amz.wtchn.net/image/v2/tpM-V40xT8VY48gbQYwApg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM1kwYTNwc2EyeHVkbmc0T1dkeWFtUTFjbVY0SW4wLkxvNjRfbHVTb2VGZVRFelREZWx2UU9SWXpnMUJ6cS1GVEswYUxTZkZlNVU=
1,m5agDBq,월레스와 그로밋: 복수의 날개,Wallace & Gromit: Vengeance Most Fowl,82,1시간 22분,2024,영국,12세,['https://an2-glx.amz.wtchn.net/images/ex_netflix_logo_square.png'],#넷플릭스,3.7,https://an2-img.amz.wtchn.net/image/v2/G6d6MBqC83I9LdDQ4htbcg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpRME56azJPVFl3TURRNU5EQXpOellpZlEuNlJFWjAzelEtT0Z6cGpzVTRuYUxmbXY0LTVVVDlaU1ZoeUx4Z3J1b2V0VQ==
2,mWLjVZD,곡성(哭聲),곡성(哭聲),156,2시간 36분,2016,한국,15세,['https://an2-img.amz.wtchn.net/image/v2/mPQV0ogd6uw4_5DmR0oBFA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTODJPVE14TmpNeE1qWXpNekE1TURraWZRLnZ0TFJSVWFtRWtJRDBHMFJnZGdQVC1WWlJLckE3eGNHZWdpMFpWWXhWZWM&ts=1712645394'],#디즈니+,3.8,https://an2-img.amz.wtchn.net/image/v2/eB_dsODtz9zfAhB3gZALmw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMko0WkhCdWEzQjNNSEpxWld4dk1YQTRkV0p2SW4wLlg2Z1pZbldSbTRMVXMzMy1BSnZRTUFReGQwa1NvYk5yamVVWnVLdTF2N2M=
3,m5aVG7D,이제 그만 끝낼까 해,I'm Thinking of Ending Things,134,2시간 14분,2020,미국,전체,['https://an2-glx.amz.wtchn.net/images/ex_netflix_logo_square.png'],#넷플릭스,3.3,https://an2-img.amz.wtchn.net/image/v2/_dysi9VC_KQBuAt1QvPhYA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMmRwWm1GNFozYzBlR2wxZERoa2FuWmthRzFvSW4wLjJNUGNtTEFpVm1RSjlsRFFTUEpkdWRkMDVxeVBpZldqUTgtT3B0U1duYzQ=
4,mOopxyz,스왈로우,Swallow,95,1시간 35분,2019,"미국, 프랑스",15세,['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png'],#왓챠,3.6,https://an2-img.amz.wtchn.net/image/v2/L76qVrhW4pR0cMzs-GjQxg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk16QXpPRE0zTkRBNE5UWTNPRFk0TVRBaWZRLlRTLWw5bDF4VFRmaV9Qdjgwam1XRFpIem9qdnk2OWRubGRqVm5Demc1QXc=
5,mXOgDNd,세 가지 색 : 블루,Trois couleurs: Bleu,98,1시간 38분,1993,"프랑스, 폴란드, 스위스",15세,['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png'],#왓챠,3.7,https://an2-img.amz.wtchn.net/image/v2/-aNt1oQm1qhx1UEKlvNdxw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpRd016UXlNREU0TmpneU1DSjkuUDRUZHVNd1pwM2ZLamRJd1g2SGk1Z2VIVk8yQ3ROTW1aWFhQNC1jS3FONA==
6,m5Q2zGW,서칭 포 슈가맨,Searching for Sugarman,86,1시간 26분,2012,"영국, 스웨덴",전체,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ', 'https://an2-glx.amz.wtchn.net/images/ex_wavve_logo_square.png']",#왓챠#티빙#웨이브,3.8,https://an2-img.amz.wtchn.net/image/v2/bibWMgoMhwCGzuIHAkc2ew.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk9UVTNNalUzTmpreE5qSXdNVGN3TmpraWZRLmRjVmJsQnd0NkdZV3ZCQTFNa1h2X1FFYkZUM3BYVWdCQ2QwTWZwTWlCLVU=
7,mgdMnm5,원스,Once,86,1시간 26분,2006,아일랜드,전체,[],,3.9,https://an2-img.amz.wtchn.net/image/v2/__rhP6x457LlUYQxemvDHQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMnBqWTNaemEybG1aak5oYTNCc2RIWjNZbkJ5SW4wLi1pZlByeTFkSC01Wm9JQ0VuUEpXRjBJQ3N5WnZ5TGpxV3ZOMjBZTTV1OGs=
8,mWJyGA4,"불량소녀, 너를 응원해!",映画 ビリギャル,117,1시간 57분,2015,일본,12세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ', 'https://an2-glx.amz.wtchn.net/images/ex_wavve_logo_square.png']",#왓챠#티빙#웨이브,3.9,https://an2-img.amz.wtchn.net/image/v2/K0KbHjj_0ETT3OwZUsp9hQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM2g1TkhOMmJXNW9lV2x3WlRaNloyWmtZbXA2SW4wLlNxRmpwV0gyblhtbVVUNG9NX3RVZVRTdEoxR2haclRfT2dJcE53RmdlUHc=
9,mObAonW,보이 A,Boy A,106,1시간 46분,2007,영국,청불,[],,3.7,https://an2-img.amz.wtchn.net/image/v2/hmsKdF6LbVHdhPdg03Bjnw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMjF3ZVRWdGEzQXljV1l6ZG1WM04yWnZaR1ZzSW4wLjViYkdMRUVpY1h0enNGbTNSM2xCb0VSdGt1bHR6ZUgzMmpfMXh5SEdVRWc=
